1.9.2014|31.9.2014
56552|Hyperokulár 5371/01|Zväčšenie 4x priemer 65/40 mm|D|ks|COI|GB|33.25|30.04|32.96|10
56553|Hyperokulár 5372/01|Zväčšenie 5x priemer 65/38 mm|D|ks|COI|GB|33.25|30.04|32.96|10
56554|Hyperokulár 5373/01|Zväčšenie 6x priemer 65/36 mm|D|ks|COI|GB|34.53|30.04|34.23|10
56555|Hyperokulár 5374/01|Zväčšenie 8x priemer 65/34 mm|D|ks|COI|GB|34.53|30.04|34.23|10
56556|Hyperokulár  ASPH COIL 5375/01|Zväčšenie 10 x priemer 65/32 mm|D|ks|COI|GB|42.29|30.04|41.92|10
56557|Hyperokulár  ASPH COIL 5376/01|Zväčšenie 12 x priemer 65/30 mm|D|ks|COI|GB|42.29|30.04|41.92|10
65699|Lacrysin|1x10m|A|ks|IVX|CZ|1.12|1.12|1.11|10
72924|Thera Tears lubrikačné očné kvapky|24x0,6 ml|A|bal|AMS|US|9.13|1.61|9.05|10
10101|Rám okuliarový sériový||D|ks|VAR|UNS|0.00|5.00|0.00|20
10102|Rám okuliarový individuálny||D|ks|VAR|UNS|0.00|0.00|0.00|20
10103|Šošovka okuliarová monofokálna plastová sférická t|štandard = index 1,5 HC nízke dioptrie|A|ks|VAR|UNS|0.00|3.00|0.00|10
10104|Šošovka okuliarová monofokálna plastová sférická t|štandard = index 1,5 HC vysoké dioptrie|A|ks|VAR|UNS|0.00|5.00|0.00|10
10105|Šošovka lentikulárna||A|ks|VAR|UNS|0.00|15.00|0.00|10
10106|Šošovka vysokoindexová|štandard = index 1,6 - 1,8 HC|A|ks|VAR|UNS|0.00|15.00|0.00|10
10107|Šošovka okuliarová bifokálna plastová sférická tor|štandard = index 1,5 HC|A|ks|VAR|UNS|0.00|12.00|0.00|10
10108|Šošovka okuliarová multifokálna plastová sférická |štandard = index 1,5 HC|A|ks|VAR|UNS|0.00|30.00|0.00|10
10109|Šošovka okuliarová prizmatická plastová sférická t|štandard = index 1,5 HC|A|ks|VAR|UNS|0.00|10.00|0.00|10
10110|Šošovka okuliarová fotochromatická|štandard = index 1,5 HC|D|ks|VAR|UNS|0.00|15.00|0.00|10
10111|Šošovka kontaktná mäkká||D|bal|VAR|UNS|0.00|10.00|0.00|10
10112|Šošovka kontaktná tvrdá||D|ks|VAR|UNS|0.00|40.00|0.00|10
10113|Šošovka kontaktná hybridná||D|ks|VAR|UNS|0.00|40.00|0.00|10
10114|Šošovka kontaktná oklúzna||D|bal|VAR|UNS|0.00|10.00|0.00|10
58013|Protéza očná akrylátová, individuálne vyhotovená||D|ks|LOO|SK|54.32|54.32|51.08|10
59257|Protéza očná akrylátová, individuálne vyhotovená||D|ks|LAB|SK|81.96|81.96|77.07|10
59259|Protéza očná akrylátová, individuálne vyhotovená n||D|ks|LAB|SK|84.98|84.98|79.91|10
59258|Protéza očná akrylátová, individuálne vyhotovená v||D|ks|LAB|SK|87.97|87.97|82.72|10
54682|Protéza očná akrylátová, individuálne vyhotovená|jednoduchá|D|ks|PRL|SK|93.22|93.22|87.66|10
54684|Protéza očná akrylátová, individuálne vyhotovená|zložitejšia alebo vyhotovená na očný implantát|D|ks|PRL|SK|98.43|98.43|92.56|10
54683|Protéza očná akrylátová, individuálne vyhotovená|v tvare šupky alebo klinová|D|ks|PRL|SK|103.69|103.69|97.51|10
87766|Epitéza tvárová silikónová individuálne zhotovená|epitéza orbity|D|ks|ALF|SK|0.00|0.00|0.00|20
00190|Aplikácia sklenenej, akrylátovej očnej protézy|Vrátane vyšetrenia a zacvičenia aplikácie|D|ks|NEU|SK|0.00|0.00|0.00|20
00685|Prvá aplikácia kontaktných šošoviek liatych a  TTC|Vrátane vyšetrenia a kontroly|D|pár|NEU|UNS|7.97|7.97|7.44|20
